RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME,Sample BusNames
DUKE_GST1CCU,DUKE,DUKE_GT1,
DUKE_GST1CCU,DUKE,DUKE_ST1,
DUKE_GT2_CCU,DUKE,DUKE_GT2,
ECLIPSE_UN1,ECLIPSE,UNIT1,
EIFSLR_UNIT1,EIFSLR,UNIT1,
ELB_ELBCREEK,ELB,ELBCREEK,
ELECTRAW_1_2,DIGBY,UNIT1,
ELECTRAW_1_2,DIGBY,UNIT2,
ELECTRAW_1_2,LOCKETT,UNIT1,
ELSAUZ_ALL,ELSAUZ,UNIT1,
ELSAUZ_ALL,ELSAUZ,UNIT2,
ELS_RN_1,ELLISSLR,UNIT1,
EL_RAYO_ALL,EL_RAYO,UNIT1,
EL_RAYO_ALL,EL_RAYO,UNIT2,
ENDPARK_ESS1,ENDPARKS,ESS1,
ERSL_RN,ELARA_SL,UNIT1,
ESTONIAN_ALL,ESTONIAN,BES1,
ESTONIAN_ALL,ESTONIAN,SOLAR1,
ESTONIAN_ALL,ESTONIAN,SOLAR2,
ETCCS_CCU,ETCCS,CT1,
ETCCS_CCU,ETCCS,UNIT1,
EUNICE_ALL,EUNICE,BES1,
EUNICE_ALL,EUNICE,PV1,
EUNICE_ALL,EUNICE,PV2,
EXGNSND_RN,EXGNSND,WIND_1,
EXGNWTL_1,EXGNWTL,WIND_1,
EXN_14,EXN,EXN_G14,
EXN_1_3,EXN,EXN_G1,
EXN_1_3,EXN,EXN_G2,
EXN_1_3,EXN,EXN_G3,
EXN_4,EXN,EXN_G4,
EXN_8,EXN,EXN_G15,
EXN_8,EXN,EXN_G8,
EXN_9_13,EXN,EXN_G10,
EXN_9_13,EXN,EXN_G11,
EXN_9_13,EXN,EXN_G12,
EXN_9_13,EXN,EXN_G13,
EXN_9_13,EXN,EXN_G9,
E_BLACK_RN,E_BLACK,UNIT_1,
FAL_FALCONG1,FALCON,FALCONG1,
FAL_FALCONG2,FALCON,FALCONG2,
FAL_FALCONG3,FALCON,FALCONG3,
FAULKNER_RN,FAULKNER,BESS,
FEGC_RN,FEGC,UNIT1,
FENCESLR_ALL,FENCESLR,BESS1,
FENCESLR_ALL,FENCESLR,SOLAR1,
FENCESLR_ALL,FENCESLR,SOLAR2,
FERGCC_GT1_1,FERGCC,FERGGT1,
FERGCC_GT2_3,FERGCC,FERGGT2,
FERGCC_ST1_5,FERGCC,FERGST1,
FERMI_ALL,FERMI,WIND1,
FERMI_ALL,FERMI,WIND2,
FILESSLR_PV1,FILESSLR,PV1,
FLCNS_UNIT1,FLCNS,UNIT1,
FLCNS_UNIT2,FLCNS,UNIT2,
FLCNS_UNIT3,FLCNS,UNIT3,
FLOWERII_RN,FLOWERII,BESS1,
FLTBES1,FLAT_TOP,BESS1,
FLTCK_SSI,FLTCK,SSI,
FLUVANNA_1_2,FLUVANNA,UNIT1,
FLUVANNA_1_2,FLUVANNA,UNIT2,
FLUVANNA_1_2,GOPHER,UNIT1,
FLUVANNA_1_2,GOPHER,UNIT2,
FLVABES1_ESR,FLVABES1,FLATU1,
FOARDCTY_ALL,FOARDCTY,UNIT1,
FOARDCTY_ALL,FOARDCTY,UNIT2,
FOXTROT_ALL,FOXTROT,UNIT1,
FOXTROT_ALL,FOXTROT,UNIT2,
FOXTROT_ALL,FOXTROT,UNIT3,
FO_FORMOSA11,FORMOSA,FORMOSG11,
FO_FORMOSA12,FORMOSA,FORMOSG12,
FO_FORMOSG1,FORMOSA,FORMOSG1,
FO_FORMOSG10,FORMOSA,FORMOSG10,
FO_FORMOSG13,FORMOSA,FORMOSG13,
FO_FORMOSG14,FORMOSA,FORMOSG14,
FO_FORMOSG15,FORMOSA,FORMOSG15,
FO_FORMOSG2,FORMOSA,FORMOSG2,
FO_FORMOSG3,FORMOSA,FORMOSG3,
FO_FORMOSG4,FORMOSA,FORMOSG4,
FO_FORMOSG5,FORMOSA,FORMOSG5,
FO_FORMOSG6,FORMOSA,FORMOSG6,
FO_FORMOSG7,FORMOSA,FORMOSG7,
FO_FORMOSG8,FORMOSA,FORMOSG8,
FO_FORMOSG9,FORMOSA,FORMOSG9,
FPPYD_FPP_G1,FPPYD1,FPP_G1,
FPPYD_FPP_G2,FPPYD1,FPP_G2,
FPPYD_FPP_G3,FPPYD2,FPP_G3,
FREC_1_CCU,FREC,GT1,
FREC_1_CCU,FREC,GT2,
FREC_1_CCU,FREC,ST3,
FREC_2_CCU,FREC,GT4,
FREC_2_CCU,FREC,GT5,
FREC_2_CCU,FREC,ST6,
FRNYPP_1_CCU,FRNYPP,GT11,
FRNYPP_1_CCU,FRNYPP,GT12,
FRNYPP_1_CCU,FRNYPP,GT13,
FRNYPP_1_CCU,FRNYPP,ST10,
FRNYPP_2_CCU,FRNYPP,GT21,
FRNYPP_2_CCU,FRNYPP,GT22,
FRNYPP_2_CCU,FRNYPP,GT23,
FRNYPP_2_CCU,FRNYPP,ST20,
FRONT_EC_RN1,FRONT_EC,ST,
FRONT_EC_RN2,FRONT_EC,CT1,
FRONT_EC_RN3,FRONT_EC,CT2,
FTR_FTR_G1_4,FTR,FTR_G1,
FTR_FTR_G1_4,FTR,FTR_G2,
FTR_FTR_G1_4,FTR,FTR_G3,
FTR_FTR_G1_4,FTR,FTR_G4,
FTWIND_UNIT1,FTWIND,UNIT_1,
FWLR_SLR_1,FWLR_SLR,UNIT1,
GALO_RN1,GALLOWAY,SOLAR1,
GALO_RN1,GALLOWAY,SOLAR2,
GAMBIT_RN,GAMBIT,BESS1,
GBY_GT,GBY,GBYGT73,
GBY_GT,GBY,GBYGT74,
GBY_GT,GBY,GBYGT81,
GBY_GT,GBY,GBYGT82,
GBY_GT,GBY,GBYGT83,
GBY_GT,GBY,GBYGT84,
GID_GIDEONG1,GIDEON,GIDEONG1,
GID_GIDEONG2,GIDEON,GIDEONG2,
GID_GIDEONG3,GIDEON,GIDEONG3,
GOA_GOATWIND,GOAT,GOATWIN2,
GOA_GOATWIND,GOAT,GOATWIND,
GOLINDA_UN1,GOLINDA,UNIT1,
GOMZ_RN,GOMZ,BESS,
GPASTURE_ALL,GPASTURE,WIND_I,
GRANDVW1_A_B,GRANDVW1,COLA,
GRANDVW1_A_B,GRANDVW1,COLB,
GRANDVW1_A_B,GRANDVW1,GV1A,
GRANDVW1_A_B,GRANDVW1,GV1B,
GREASWOD_ALL,GREASWOD,UNIT1,
